Date,Movie ,Location,Showtime,Type,Age Rating
18-Nov-19,The Warrior Queen of Jhansi,Cineplex Yonge-Dundas,7:30 PM,Regular,PG
18-Nov-19,The Warrior Queen of Jhansi,Cineplex Yonge-Dundas,10:10 PM,Regular,PG
18-Nov-19,Alien,Cineplex Yonge-Dundas,7:00 PM,VIP 19+,R
18-Nov-19,Terminator: Dark Fate,Scotiabank Theatre,1:40 PM,D-Box AVX,14A
18-Nov-19,Terminator: Dark Fate,Scotiabank Theatre,4:40 PM,D-Box AVX,14A
18-Nov-19,Terminator: Dark Fate,Scotiabank Theatre,7:40 PM,D-Box AVX,14A
18-Nov-19,Terminator: Dark Fate,Scotiabank Theatre,10:40 PM,D-Box AVX,14A
18-Nov-19,Terminator: Dark Fate,Scotiabank Theatre,1:40 PM,Ultra AVX,14A
18-Nov-19,Terminator: Dark Fate,Scotiabank Theatre,4:40 PM,Ultra AVX,14A
18-Nov-19,Terminator: Dark Fate,Scotiabank Theatre,7:40 PM,Ultra AVX,14A
18-Nov-19,Terminator: Dark Fate,Scotiabank Theatre,10:40 PM,Ultra AVX,14A
18-Nov-19,Charlie's Angels,Scotiabank Theatre,12:50 PM,Regular,PG
18-Nov-19,Charlie's Angels,Scotiabank Theatre,1:35 PM,Regular,PG
18-Nov-19,Charlie's Angels,Scotiabank Theatre,3:45 PM,Regular,PG
18-Nov-19,Charlie's Angels,Scotiabank Theatre,4:30 PM,Regular,PG
18-Nov-19,Charlie's Angels,Scotiabank Theatre,6:40 PM,Regular,PG
18-Nov-19,Charlie's Angels,Scotiabank Theatre,7:25 PM,Regular,PG
18-Nov-19,Charlie's Angels,Scotiabank Theatre,9:35 PM,Regular,PG
18-Nov-19,Charlie's Angels,Scotiabank Theatre,10:20 PM,Regular,PG
18-Nov-19,Doctor Sleep,Scotiabank Theatre,12:30 PM,Regular,14A
18-Nov-19,Doctor Sleep,Scotiabank Theatre,2:50 PM,Regular,14A
18-Nov-19,Doctor Sleep,Scotiabank Theatre,3:45 PM,Regular,14A
18-Nov-19,Doctor Sleep,Scotiabank Theatre,6:15 PM,Regular,14A
18-Nov-19,Doctor Sleep,Scotiabank Theatre,7:00 PM,Regular,14A
18-Nov-19,Doctor Sleep,Scotiabank Theatre,9:30 PM,Regular,14A
18-Nov-19,Doctor Sleep,Scotiabank Theatre,10:15 PM,Regular,14A
18-Nov-19,Ford v. Ferrari,Scotiabank Theatre,12:20 PM,IMAX,PG
18-Nov-19,Ford v. Ferrari,Scotiabank Theatre,3:40 PM,IMAX,PG
18-Nov-19,Ford v. Ferrari,Scotiabank Theatre,7:05 PM,IMAX,PG
18-Nov-19,Ford v. Ferrari,Scotiabank Theatre,10:30 PM,IMAX,PG
18-Nov-19,Jojo Rabbit,Scotiabank Theatre,12:25 PM,Regular,PG
18-Nov-19,Jojo Rabbit,Scotiabank Theatre,3:00 PM,Regular,PG
18-Nov-19,Jojo Rabbit,Scotiabank Theatre,5:45 PM,Regular,PG
18-Nov-19,Jojo Rabbit,Scotiabank Theatre,8:30 PM,Regular,PG
18-Nov-19,Joker,Scotiabank Theatre,1:50 PM,Regular,14A
18-Nov-19,Joker,Scotiabank Theatre,4:45 PM,Regular,14A
18-Nov-19,Joker,Scotiabank Theatre,7:45 PM,Regular,14A
18-Nov-19,Joker,Scotiabank Theatre,10:40 PM,Regular,14A
18-Nov-19,Midway,Scotiabank Theatre,12:25 PM,Regular,PG
18-Nov-19,Midway,Scotiabank Theatre,3:30 PM,Regular,PG
18-Nov-19,Midway,Scotiabank Theatre,6:40 PM,Regular,PG
18-Nov-19,Midway,Scotiabank Theatre,9:50 PM,Regular,PG
18-Nov-19,Parasite (Korean w/e.s.t),Scotiabank Theatre,12:45 PM,Regular,14A
18-Nov-19,Parasite (Korean w/e.s.t),Scotiabank Theatre,4:00 PM,Regular,14A
18-Nov-19,Parasite (Korean w/e.s.t),Scotiabank Theatre,7:20 PM,Regular,14A
18-Nov-19,Parasite (Korean w/e.s.t),Scotiabank Theatre,10:35 PM,Regular,14A
18-Nov-19,The Good Liar,Scotiabank Theatre,12:20 PM,Regular,14A
18-Nov-19,The Good Liar,Scotiabank Theatre,1:20 PM,Regular,14A
18-Nov-19,The Good Liar,Scotiabank Theatre,4:05 PM,Regular,14A
18-Nov-19,The Good Liar,Scotiabank Theatre,6:50 PM,Regular,14A
18-Nov-19,The Good Liar,Scotiabank Theatre,9:35 PM,Regular,14A
18-Nov-19,The Lighthouse,Scotiabank Theatre,2:00 PM,Regular,14A
18-Nov-19,The Lighthouse,Scotiabank Theatre,4:45 PM,Regular,14A
18-Nov-19,The Lighthouse,Scotiabank Theatre,7:30 PM,Regular,14A
